"plan_opt","code","prem20_total","prem21_total","prem21_gov","prem21_empl","prem21_increase","prem20_monthly_total","prem21_monthly_total","prem21_monthly_gov","prem21_monthly_empl","prem21_monthly_increase"
"Maryland CareFirst BlueChoice - Blue Value Plus Self","B64","325.83999999999997",334,241.58,92.42,"2.35","705.99",723.67,523.42,200.25,"5.0999999999999996"
"Maryland CareFirst BlueChoice - Blue Value Plus Self & Family","B65","774.21",793.56,562.25,231.31,"3.57","1677.46",1719.38,1218.21,501.17,"7.73"
"Maryland CareFirst BlueChoice - Blue Value Plus Self Plus One","B66","651.70000000000005",667.98,500.99,166.99,"4.07","1412.02",1447.29,1085.47,361.82,"8.82"
"Maryland Kaiser Permanente - Mid-Atlantic States - Basic Self","T71","193.9",197.41,148.06,49.35,"0.88","420.12",427.72,320.79,106.93,"1.9"
"Maryland Kaiser Permanente - Mid-Atlantic States - Basic Self & Family","T72","473.61",507.47,380.6,126.87,"8.4700000000000006","1026.1600000000001",1099.52,824.64,274.88,"18.34"
"Maryland Kaiser Permanente - Mid-Atlantic States - Basic Self Plus One","T73","431.49",439.31,329.48,109.83,"1.96","934.9",951.84,713.88,237.96,"4.24"
"Maryland Kaiser Permanente - Mid-Atlantic States - Standard Self","E34","263.79000000000002",276.13,207.1,69.03,"3.08","571.54999999999995",598.28,448.71,149.57,"6.68"
"Maryland Kaiser Permanente - Mid-Atlantic States - Standard Self & Family","E35","606.69000000000005",635.1,476.33,158.77,"7.1","1314.5",1376.05,1032.04,344.01,"15.39"
"Maryland Kaiser Permanente - Mid-Atlantic States - Standard Self Plus One","E36","606.69000000000005",635.1,476.33,158.77,"7.1","1314.5",1376.05,1032.04,344.01,"15.39"
"Maryland Kaiser Permanente - Mid-Atlantic States - High Self","E31","333.61",344.42,241.58,102.84,"5","722.82",746.24,523.42,222.82,"10.84"
"Maryland Kaiser Permanente - Mid-Atlantic States - High Self & Family","E32","767.32",792.16,562.25,229.91,"9.06","1662.53",1716.35,1218.21,498.14,"19.63"
"Maryland Kaiser Permanente - Mid-Atlantic States - High Self Plus One","E33","767.32",792.16,517.46,274.7,"11.5","1662.53",1716.35,1121.16,595.19,"24.92"
"Maryland M.D. IPA - High Self","JP1","404.59",438.87,241.58,197.29,"28.47","876.61",950.89,523.42,427.47,"61.7"
"Maryland M.D. IPA - High Self & Family","JP2","1134.48",1230.59,562.25,668.34,"80.33","2458.04",2666.28,1218.21,1448.07,"174.05"
"Maryland M.D. IPA - High Self Plus One","JP3","790.17",857.12,517.46,339.66,"53.61","1712.04",1857.09,1121.16,735.93,"116.15"
"Maryland UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","AS1","242.68",276.68,207.51,69.17,"8.5","525.80999999999995",599.47,449.6,149.87,"18.420000000000002"
"Maryland UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","AS2","573.86",654.35,490.76,163.59,"20.13","1243.3599999999999",1417.76,1063.32,354.44,"43.6"
"Maryland UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","AS3","521.73",594.87,446.15,148.72,"18.29","1130.42",1288.89,966.67,322.22,"39.619999999999997"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self","V41","224.57",239.96,179.97,59.99,"3.85","486.57",519.91,389.93,129.98,"8.34"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self & Family","V42","516.51",551.91,413.93,137.98,"8.85","1119.1099999999999",1195.81,896.86,298.95,"19.170000000000002"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self Plus One","V43","482.83",515.91,386.93,128.98,"8.27","1046.1300000000001",1117.81,838.36,279.45,"17.920000000000002"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self","LR1","329.95",355.57,241.58,113.99,"19.809999999999999","714.89",770.4,523.42,246.98,"42.93"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self & Family","LR2","781.98",842.69,562.25,280.44,"44.93","1694.29",1825.83,1218.21,607.62,"97.35"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self Plus One","LR3","709.38",764.46,517.46,247,"41.74","1536.99",1656.33,1121.16,535.17,"90.44"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Plus Advanced - Value Self","L91","240.69",255.98,191.99,63.99,"3.82","521.5",554.62,415.97,138.65,"8.2799999999999994"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Plus Advanced - Value Self & Family","L92","674.89",717.76,538.32,179.44,"10.72","1462.26",1555.15,1166.36,388.79,"23.23"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Plus Advanced - Value Self Plus One","L93","470.06",499.93,374.95,124.98,"7.47","1018.46",1083.18,812.39,270.79,"16.18"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","Y81","233.88",266.18,199.64,66.54,"8.07","506.74",576.72,432.54,144.18,"17.5"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","Y82","553.03",629.51,472.13,157.38,"19.12","1198.23",1363.94,1022.96,340.98,"41.42"
"Maryland UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","Y83","502.79",572.28,429.21,143.07,"17.37","1089.3800000000001",1239.94,929.96,309.98,"37.64"
"Maryland UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Maryland UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Maryland UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Massachusetts Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Massachusetts Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Massachusetts Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Massachusetts Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Massachusetts Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Massachusetts Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Massachusetts Aetna HealthFund CDHP and Aetna Value Plan - Value Self","EP4","350.59",387.52,241.58,145.94,"31.12","759.61",839.63,523.42,316.21,"67.44"
"Massachusetts Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","EP5","802.85",887.39,562.25,325.14,"68.760000000000005","1739.51",1922.68,1218.21,704.47,"148.97999999999999"
"Massachusetts Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","EP6","787.1",869.98,517.46,352.52,"69.540000000000006","1705.38",1884.96,1121.16,763.8,"150.68"
"Massachusetts Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","EP1","496.5",519.07,241.58,277.49,"16.760000000000002","1075.75",1124.65,523.42,601.23,"36.32"
"Massachusetts Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","EP2","1132.3",1183.79,562.25,621.54,"35.71","2453.3200000000002",2564.88,1218.21,1346.67,"77.37"
"Massachusetts Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","EP3","1121.0899999999999",1172.06,517.46,654.6,"37.630000000000003","2429.0300000000002",2539.46,1121.16,1418.3,"81.53"
"Massachusetts Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Massachusetts Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Massachusetts Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Massachusetts UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Massachusetts UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Massachusetts UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Michigan Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Michigan Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Michigan Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Michigan Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Michigan Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Michigan Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Michigan Aetna HealthFund CDHP and Aetna Value Plan - Value Self","G54","328.95",330.94,241.58,89.36,"-3.82","712.73",717.04,523.42,193.62,"-8.27"
"Michigan Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","G55","753.4",757.97,562.25,195.72,"-11.21","1632.37",1642.27,1218.21,424.06,"-24.29"
"Michigan Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","G56","738.63",743.12,517.46,225.66,"-8.85","1600.37",1610.09,1121.16,488.93,"-19.18"
"Michigan Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","G51","417.46",488.66,241.58,247.08,"65.39","904.5",1058.76,523.42,535.34,"141.68"
"Michigan Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","G52","952.2",1114.65,562.25,552.4,"146.66999999999999","2063.1",2415.08,1218.21,1196.87,"317.79000000000002"
"Michigan Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","G53","942.79",1103.63,517.46,586.17,"147.5","2042.71",2391.2,1121.16,1270.04,"319.58999999999997"
"Michigan Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Michigan Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Michigan Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Michigan Blue Care Network of Michigan - High Self","LX1","342.86",353.45,241.58,111.87,"4.78","742.86",765.81,523.42,242.39,"10.37"
"Michigan Blue Care Network of Michigan - High Self & Family","LX2","836.58",862.42,562.25,300.17,"10.06","1812.59",1868.58,1218.21,650.37,"21.8"
"Michigan Blue Care Network of Michigan - High Self Plus One","LX3","788.57",812.95,517.46,295.49,"11.04","1708.57",1761.39,1121.16,640.23,"23.92"
"Michigan Blue Care Network of Michigan - High Self","K51","442.03",459.92,241.58,218.34,"12.08","957.73",996.49,523.42,473.07,"26.18"
"Michigan Blue Care Network of Michigan - High Self & Family","K52","1078.53",1122.21,562.25,559.96,"27.9","2336.8200000000002",2431.46,1218.21,1213.25,"60.45"
"Michigan Blue Care Network of Michigan - High Self Plus One","K53","1016.64",1057.83,517.46,540.37,"27.85","2202.7199999999998",2291.97,1121.16,1170.81,"60.35"
"Michigan Health Alliance Plan - High Self","521","363.64",388.7,241.58,147.12,"19.25","787.89",842.18,523.42,318.76,"41.71"
"Michigan Health Alliance Plan - High Self & Family","522","887.28",948.43,562.25,386.18,"45.37","1922.44",2054.93,1218.21,836.72,"98.3"
"Michigan Health Alliance Plan - High Self Plus One","523","836.37",894,517.46,376.54,"44.29","1812.14",1937,1121.16,815.84,"95.96"
"Michigan Health Alliance Plan - Standard Self","GY4","283.49",257.33,193,64.33,"-6.54","614.23",557.55,418.16,139.39,"-14.17"
"Michigan Health Alliance Plan - Standard Self & Family","GY5","691.74",627.88,470.91,156.97,"-15.96","1498.77",1360.41,1020.31,340.1,"-34.590000000000003"
"Michigan Health Alliance Plan - Standard Self Plus One","GY6","652.04999999999995",591.85,443.89,147.96,"-15.05","1412.78",1282.34,961.76,320.58,"-32.61"
"Michigan Priority Health - High Self","LE1","424.42",478.75,241.58,237.17,"48.52","919.58",1037.29,523.42,513.87,"105.13"
"Michigan Priority Health - High Self & Family","LE2","997.39",1125.06,562.25,562.81,"111.89","2161.0100000000002",2437.63,1218.21,1219.42,"242.43"
"Michigan Priority Health - High Self Plus One","LE3","933.72",1053.25,517.46,535.79,"106.19","2023.06",2282.04,1121.16,1160.88,"230.08"
"Michigan Priority Health - Standard Self","LE4","248.92",271.1,203.33,67.77,"5.54","539.33000000000004",587.38,440.54,146.84,"12.01"
"Michigan Priority Health - Standard Self & Family","LE5","584.97",637.07,477.8,159.27,"13.03","1267.44",1380.32,1035.24,345.08,"28.22"
"Michigan Priority Health - Standard Self Plus One","LE6","547.63",596.41,447.31,149.1,"12.19","1186.53",1292.22,969.17,323.05,"26.42"
"Michigan Priority Health - Value Self","Y41","218.42",218.42,163.82,54.6,"0","473.24",473.24,354.93,118.31,"0"
"Michigan Priority Health - Value Self & Family","Y42","513.29",513.29,384.97,128.32,"0","1112.1300000000001",1112.13,834.1,278.03,"0"
"Michigan Priority Health - Value Self Plus One","Y43","480.52",480.52,360.39,120.13,"0","1041.1300000000001",1041.13,780.85,260.28,"0"
"Michigan UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Michigan UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Michigan UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Minnesota Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Minnesota Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Minnesota Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Minnesota Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Minnesota Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Minnesota Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Minnesota Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","H41","382.37",381.62,241.58,140.04,"-6.56","828.47",826.84,523.42,303.42,"-14.21"
"Minnesota Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","H42","871.59",869.88,562.25,307.63,"-17.489999999999998","1888.45",1884.74,1218.21,666.53,"-37.9"
"Minnesota Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","H43","863.04",861.43,517.46,343.97,"-14.95","1869.92",1866.43,1121.16,745.27,"-32.39"
"Minnesota Aetna HealthFund CDHP and Aetna Value Plan - Value Self","H44","372.48",377.3,241.58,135.72,"-0.99","807.04",817.48,523.42,294.06,"-2.14"
"Minnesota Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","H45","854.85",865.92,562.25,303.67,"-4.71","1852.18",1876.16,1218.21,657.95,"-10.210000000000001"
"Minnesota Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","H46","838.09",848.95,517.46,331.49,"-2.48","1815.86",1839.39,1121.16,718.23,"-5.37"
"Minnesota Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Minnesota Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Minnesota Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Minnesota HealthPartners - Standard Self","V34","212.27",235.11,176.33,58.78,"5.71","459.92",509.41,382.06,127.35,"12.37"
"Minnesota HealthPartners - Standard Self & Family","V35","517.11",572.74,429.56,143.18,"13.9","1120.4100000000001",1240.94,930.71,310.23,"30.13"
"Minnesota HealthPartners - Standard Self Plus One","V36","469.13",519.6,389.7,129.9,"12.62","1016.45",1125.8,844.35,281.45,"27.34"
"Minnesota HealthPartners - High Self","V31","328.76",308.34,231.26,77.08,"-15.91","712.31",668.07,501.05,167.02,"-34.450000000000003"
"Minnesota HealthPartners - High Self & Family","V32","800.86",751.1,562.25,188.85,"-65.540000000000006","1735.2",1627.38,1218.21,409.17,"-142.01"
"Minnesota HealthPartners - High Self Plus One","V33","726.56",681.42,511.07,170.35,"-52.09","1574.21",1476.41,1107.31,369.1,"-112.85"
"Minnesota UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Minnesota UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Minnesota UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Mississippi Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Mississippi Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Mississippi Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Mississippi Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Mississippi Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Mississippi Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Mississippi Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","H41","382.37",381.62,241.58,140.04,"-6.56","828.47",826.84,523.42,303.42,"-14.21"
"Mississippi Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","H42","871.59",869.88,562.25,307.63,"-17.489999999999998","1888.45",1884.74,1218.21,666.53,"-37.9"
"Mississippi Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","H43","863.04",861.43,517.46,343.97,"-14.95","1869.92",1866.43,1121.16,745.27,"-32.39"
"Mississippi Aetna HealthFund CDHP and Aetna Value Plan - Value Self","H44","372.48",377.3,241.58,135.72,"-0.99","807.04",817.48,523.42,294.06,"-2.14"
"Mississippi Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","H45","854.85",865.92,562.25,303.67,"-4.71","1852.18",1876.16,1218.21,657.95,"-10.210000000000001"
"Mississippi Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","H46","838.09",848.95,517.46,331.49,"-2.48","1815.86",1839.39,1121.16,718.23,"-5.37"
"Mississippi Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Mississippi Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Mississippi Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Mississippi UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","AS1","242.68",276.68,207.51,69.17,"8.5","525.80999999999995",599.47,449.6,149.87,"18.420000000000002"
"Mississippi UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self & Family","AS2","573.86",654.35,490.76,163.59,"20.13","1243.3599999999999",1417.76,1063.32,354.44,"43.6"
"Mississippi UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self Plus One","AS3","521.73",594.87,446.15,148.72,"18.29","1130.42",1288.89,966.67,322.22,"39.619999999999997"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self","LS1","209.88",224.24,168.18,56.06,"3.59","454.74",485.85,364.39,121.46,"7.78"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self & Family","LS2","482.73",515.77,386.83,128.94,"8.26","1045.92",1117.5,838.13,279.37,"17.89"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice HDHP - HDHP Self Plus One","LS3","451.25",482.12,361.59,120.53,"7.72","977.71",1044.59,783.44,261.15,"16.72"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self","KK1","329.48",354.94,241.58,113.36,"19.649999999999999","713.87",769.04,523.42,245.62,"42.59"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self & Family","KK2","823.71",887.37,562.25,325.12,"47.88","1784.71",1922.64,1218.21,704.43,"103.74"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice Open Access HMO - High Self Plus One","KK3","708.4",763.14,517.46,245.68,"41.4","1534.87",1653.47,1121.16,532.31,"89.7"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self","Y81","233.88",266.18,199.64,66.54,"8.07","506.74",576.72,432.54,144.18,"17.5"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self & Family","Y82","553.03",629.51,472.13,157.38,"19.12","1198.23",1363.94,1022.96,340.98,"41.42"
"Mississippi UnitedHealthcare Insurance Company, Inc. Choice Primary - High Self Plus One","Y83","502.79",572.28,429.21,143.07,"17.37","1089.3800000000001",1239.94,929.96,309.98,"37.64"
"Mississippi UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self","Y51","New Plan",190.03,142.52,47.51,"New Plan","New Plan",411.73,308.8,102.93,"New Plan"
"Mississippi UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self & Family","Y52","New Plan",503.57,377.68,125.89,"New Plan","New Plan",1091.07,818.3,272.77,"New Plan"
"Mississippi UnitedHealthcare Insurance Company, Inc. UnitedHealthcare Advantage Plan - High Self Plus One","Y53","New Plan",418.06,313.55,104.51,"New Plan","New Plan",905.8,679.35,226.45,"New Plan"
"Missouri Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Missouri Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Missouri Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Missouri Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Missouri Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Missouri Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Missouri Aetna HealthFund CDHP and Aetna Value Plan - Value Self","G54","328.95",330.94,241.58,89.36,"-3.82","712.73",717.04,523.42,193.62,"-8.27"
"Missouri Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","G55","753.4",757.97,562.25,195.72,"-11.21","1632.37",1642.27,1218.21,424.06,"-24.29"
"Missouri Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","G56","738.63",743.12,517.46,225.66,"-8.85","1600.37",1610.09,1121.16,488.93,"-19.18"
"Missouri Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","G51","417.46",488.66,241.58,247.08,"65.39","904.5",1058.76,523.42,535.34,"141.68"
"Missouri Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","G52","952.2",1114.65,562.25,552.4,"146.66999999999999","2063.1",2415.08,1218.21,1196.87,"317.79000000000002"
"Missouri Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","G53","942.79",1103.63,517.46,586.17,"147.5","2042.71",2391.2,1121.16,1270.04,"319.58999999999997"
"Missouri Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Missouri Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Missouri Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Missouri Aetna Open Access - High Self","HA1","507.66",533.78,241.58,292.2,"20.309999999999999","1099.93",1156.52,523.42,633.1,"44.01"
"Missouri Aetna Open Access - High Self & Family","HA2","1199.1600000000001",1260.88,562.25,698.63,"45.94","2598.1799999999998",2731.91,1218.21,1513.7,"99.54"
"Missouri Aetna Open Access - High Self Plus One","HA3","1187.32",1248.41,517.46,730.95,"47.75","2572.5300000000002",2704.89,1121.16,1583.73,"103.46"
"Missouri Aetna Open Access - Standard Self","HA4","330.63",416.01,241.58,174.43,"79.569999999999993","716.37",901.36,523.42,377.94,"172.41"
"Missouri Aetna Open Access - Standard Self & Family","HA5","780.41",981.94,562.25,419.69,"185.75","1690.89",2127.54,1218.21,909.33,"402.46"
"Missouri Aetna Open Access - Standard Self Plus One","HA6","772.69",972.22,517.46,454.76,"186.19","1674.16",2106.48,1121.16,985.32,"403.42"
"Missouri Blue Preferred - High Self","9G1","384.56",403.49,241.58,161.91,"13.12","833.21",874.23,523.42,350.81,"28.44"
"Missouri Blue Preferred - High Self & Family","9G2","857.94",915.93,562.25,353.68,"42.21","1858.87",1984.52,1218.21,766.31,"91.46"
"Missouri Blue Preferred - High Self Plus One","9G3","812.58",859.44,517.46,341.98,"33.520000000000003","1760.59",1862.12,1121.16,740.96,"72.63"
"Missouri Blue Preferred - Standard Self","9G4","277.20999999999998",292.46,219.35,73.11,"3.81","600.62",633.66,475.25,158.41,"8.26"
